title,publisher,capital,rank,dl,rating,review,tag1,tag2,tag3,tag4,tag5,tag6
Figure Story,Nuverse (Hong Kong) Limited,Public,46.000 ,100000,4,7750,Role Playing,Action-strategy,Single player,Stylized,Anime,-
Fist of the North Star: Legends ReVIVE,SEGA,Public,43.829 ,100000,3.5,18700,Role Playing,Turn-based RPG,Single player,Multiplayer,Stylized,Anime
Sky: Children of the Light ,"Thatgamecompany, Inc.",Private,24.806 ,10000000,4.3,855000,Adventure,Casual,Single player,Stylized,-,-
Jumputi Heroes,LINE,Public,36.760 ,1000000,3.9,33900,Role Playing,Puzzle Role-playing,Single player,Stylized,Anime,-
Another Eden: The Cat Beyond Time and Space,"WFS, Inc.",Public,34.000 ,1000000,4.2,108000,Role Playing,Single player,Stylized,Anime,-,-
Brawl Stars ,Supercell,Public,38.717 ,100000000,4.1,22400000,Action,Shooter,Casual,Multiplayer,Competitive multiplayer,Stylized
White Cat Tennis,"COLOPL, Inc.",Public,47.000 ,1000000,3,79900,Sports,Tennis,Multiplayer,Competitive multiplayer,Single player,Stylized
White Cat Project,"COLOPL, Inc.",Public,27.790 ,5000000,3.9,212000,Role Playing,Action Role-Playing,Single player,Stylized,Anime,-
Stand My Heroes,coly,Public,30.857 ,100000,4.2,8890,Puzzle,Match 3,Match 3 adventure,Casual,Single player,Stylized
Final Fantasy Brave Exvius,SQUARE ENIX,Public,32.298 ,1000000,3.3,50500,Role Playing,Turn-based RPG,Single player,Stylized,Pixelated,-
Princess Connect! Re: Dive,Cygames,Public,30.826 ,1000000,4.1,59300,Role Playing,Action-strategy,Stylized,Anime,-,-
Shining Nikki,Nikki Inc,Private,36.000 ,100000,3.7,2940,Simulation,Lifestyle,Dress-up,Single player,Stylized,Anime
Castle & Dragon,"Asobism.Co.,Ltd",Private,36.442 ,1000000,4.1,62200,Strategy,Tower defense,Multiplayer,Competitive multiplayer,Single player,Stylized
Gyakuten Othellonia,"DeNA Co., Ltd.",Public,32.750 ,1000000,3.7,64600,Role Playing,Single player,Stylized,Anime,-,-
KonoSuba: God's Blessing on this Wonderful World! Fantastic Days,Sumzap Inc.,Private,37.467 ,500000,4.1,48100,Role Playing,Single player,Stylized,Anime,-,-
Dragon Quest Monsters Super Light ,SQUARE ENIX,Public,25.848 ,5000000,3.8,137000,Role Playing,-,-,-,-,-
Fire Emblem Heroes ,"Nintendo Co., Ltd.",Public,38.707 ,5000000,4.1,597000,Role Playing,Tactical,Multiplayer,Competitive multiplayer,Single player,Stylized
The Battle Cats,ponos corporation,Private,31.769 ,10000000,4.4,236000,Strategy,Tower defense,Single player,Stylized,-,-
OCTOPATH TRAVELER,SQUARE ENIX,Public,33.263 ,500000,3.8,25900,Role Playing,Turn-based RPG,Single player,Stylized,Pixelated,-
BlackStar -Theater Starless,Donuts Co. Ltd.,Private,46.000 ,100000,4.4,4230,Music,Single player,Stylized,Anime,-,-
Evertale ,ZigZaGame Inc.,Private,41.296 ,5000000,3.7,437000,Role Playing,Turn-based RPG,Casual,Multiplayer,Competitive multiplayer,Single player
Forsaken World: Gods and Demons,4399 NET LIMITED,Private,49.333 ,100000,3,4710,Role Playing,MMORPG,Single player,Stylized,Stylized-realistic,-
Clash Royale ,Supercell,Public,33.138 ,100000000,3.9,35700000,Strategy,Tactics,Casual,Multiplayer,Competitive multiplayer,Stylized
Tenchi no Gotoku,Six Waves Inc.,Public,45.250 ,100000,4.7,5670,Strategy,Build & battle,Single player,Stylized,Stylized-realistic,-
Yu-Gi-Oh! Duel Links ,KONAMI,Public,32.230 ,50000000,4.1,2220000,Card,Card battler,Multiplayer,Competitive multiplayer,Single player,Stylized
Top War: Battle Game ,Topwar Studio,Private,35.848 ,50000000,4.8,704000,Strategy,Build & battle,Multiplayer,Competitive multiplayer,Stylized,-
Ikémen Sengoku: Romances Across Time,"CYBIRD Co., Ltd.",Public,50.000 ,1000000,3.9,12700,Simulation,Life,Dating,Single player,Stylized,Anime
Shin Sangokushi,HK HERO ENTERTAINMENT CO.,Private,41.162 ,100000,2.8,6820,Strategy,Build & battle,Casual,Stylized,-,-
State of Survival,KingsGroup International AG,Public,42.400 ,500000,4.5,20500,Strategy,4X,Multiplayer,Competitive multiplayer,Single player,Stylized
SEGA New Creation Club ROAD to the WORLD,SEGA CORPORATION,Public,31.175 ,100000,4.1,16200,Sports,Coaching,Single player,Stylized,-,-
SINoALICE,"Pokelabo, Inc.",Public,35.109 ,1000000,4.1,86000,Role Playing,Single player,Stylized,Anime,-,-
Epic Seven ,Smilegate Megaport,Private,42.833 ,5000000,4.1,453000,Role Playing,Turn-based RPG,Multiplayer,Competitive multiplayer,Single player,Stylized
The Symphony of Dragon and Girls,BluStar Games Limited,Private,41.545 ,100000,4.6,24900,Role Playing,Casual,Stylized,Anime,-,-
Megido 72,DeNA,Public,38.167 ,500000,4.3,39900,Role Playing,Turn-based RPG,Single player,Stylized,Anime,-
Tales of the Rays,BANDAI NAMCO Entertainment Inc.,Public,39.000 ,500000,3.6,12500,Role Playing,Action Role-Playing,Multiplayer,Cooperative multiplayer,Single player,Stylized
LINE POP2 ,LINE Corporation,Public,48.500 ,10000000,4.4,238000,Puzzle,Match 3,Casual,Single player,Stylized,Cartoon
Merchant Wandering Record-Akindo's Rise Road,37games ,Private,39.721 ,500000,3.9,14100,Simulation,Management,Tycoon,Single player,Stylized,Ink wash painting
100 Sleeping Princes & the Kingdom of Dreams,GCREST ,Private,43.667 ,1000000,3.9,23700,Role Playing,Puzzle Role-playing,Single player,Stylized,Anime,-
Prince of Tennis: Rising Beat,Bushiroad ,Public,43.000 ,100000,4.2,9920,Music,Performance,Single player,Stylized,Anime,-
Azur Lane,"Yostar, Inc.",Private,34.141 ,1000000,4.2,40100,Role Playing,Action-strategy,Single player,Stylized,Anime,-
Summoners War ,Com2uS Corp.,Private,35.528 ,50000000,3.7,2360000,Role Playing,Turn-based RPG,Multiplayer,Competitive multiplayer,Single player,Stylized
One Piece Bounty Rush,BANDAI NAMCO Entertainment Inc.,Public,21.108 ,1000000,4.3,46900,Action,Fighting,Multiplayer,Stylized,Anime,-
Honkai Impact 3rd,株式会社miHoYo,Private,36.815 ,1000000,4,23600,Role Playing,Action Role-Playing,Casual,Stylized,Anime,-
"
Saint Seiya: Rising Cosm",Tencent ,Public,47.286 ,100000,3.8,23600,Role Playing,Single player,Multiplayer,Stylized,Anime,-
Puzzle & Dragons,"GungHo Online Entertainment, Inc.",Public,7.597 ,10000000,4.9,142000,Puzzle,Jigsaw,Casual,Single player,Realistic,Offline
LINE PokoPoko --Play with POKOTA! Free puzzler!,LINE ,Public,27.000 ,10000000,4.1,453000,Puzzle,Match 3,Casual,Stylized,Cartoon,-
Laguna Roque Origin,GungHo Online Entertainment,Public,37.636 ,100000,2.2,2020,Role Playing,MMORPG,Multiplayer,Cooperative multiplayer,Single player,Stylized
PUBG MOBILE ,KRAFTON Inc,Public,40.000 ,10000000,4.3,1230000,Action,Shooter,Tactical shooter,Casual,Multiplayer,Competitive multiplayer
Akashic Chronicle-Apocalypse Of Dawn,Moonton ,Private,49.000 ,100000,4.1,11400,Role Playing,Idle RPG,Single player,Stylized,Anime,-
FINAL FANTASY Record Keeper ,"DeNA Co., Ltd.",Public,36.583 ,1000000,4.1,297000,Role Playing,Turn-based RPG,Single player,Stylized,Pixelated,-
Hypnosismic -Alternative Rap Battle,"Idea Factory Plus Co., Ltd",Private,30.714 ,500000,5,27000,Music,Performance,Single player,Stylized,Anime,-
IDOLY PRIDE,"QualiArts, Inc.",Public,30.364 ,100000,4.3,8350,Music,Single player,Stylized,Anime,-,-
Animal Crossing: Pocket Camp ,"Nintendo Co., Ltd.",Public,41.667 ,10000000,3.9,782000,Simulation,Life,Single player,Stylized,Cartoon,-
For Whom the Alchemist Exists,gumi Inc.,Public,38.800 ,1000000,3.7,67300,Role Playing,Tactical,Single player,Stylized,Anime,-
Drift Spirits,BANDAI NAMCO Entertainment Inc.,Public,41.500 ,1000000,3.8,49400,Racing,Stunt driving,Multiplayer,Competitive multiplayer,Single player,Realistic
Gundam Battle: Gunpla Warfare,BANDAI NAMCO Entertainment Inc.,Public,46.500 ,500000,3.7,32100,Role Playing,Single player,Stylized,Anime,-,-
Uni's On Air,Akatsuki Inc.,Public,31.520 ,100000,4,15100,Music,Performance,Single player,Realistic,-,-
Nogikoi,"10ANTZ, Inc.",Private,37.714 ,500000,4.2,28600,Simulation,Life,Dating,Single player,Realistic,-
Ekimemo! -Station Memories!,"g1dash, Inc.",Private,47.714 ,500000,3.4,7500,Adventure,Single player,Stylized,Anime,-,-
Love Live! School Idol Festival ALL STARS,KLab Inc.,Public,38.182 ,100000,3.7,20900,Casual,Stylized,Anime,-,-,-
NieR Re[in]carnation ,SQUARE ENIX,Public,37.800 ,500000,3.8,27400,Role Playing,Action Role-Playing,Single player,Stylized,Anime,-
The Idolmaster: Million Live! Theater Days,BANDAI NAMCO Entertainment Inc.,Public,37.297 ,500000,4.4,16500,Music,Performance,Single player,Stylized,Anime,-
Utawarerumono: Lost Flag,AQUAPLUS,Private,31.467 ,100000,3.9,12100,Role Playing,Action-strategy,Single player,Stylized,Anime,-
Kingdom: Seven Flags,BANDAI NAMCO Entertainment Inc.,Public,35.583 ,500000,4,16400,Strategy,Wargame,Single player,Stylized,Anime,-
Dragon Quest: The Adventure of Dai,SQUARE ENIX,Public,32.000 ,100000,3.4,9370,Role Playing,Action Role-Playing,Single player,Stylized,Anime,-
J.League Club Championship,KONAMI,Public,42.125 ,100000,3.6,3450,Sports,Soccer,Multiplayer,Competitive multiplayer,Single player,Realistic
Final Fantasy Brave Exvius,SQUARE ENIX,Public,32.298 ,1000000,3.3,50500,Role Playing,Turn-based RPG,Single player,Stylized,Pixelated,-
Dragon Egg,Rudel inc.,Private,43.667 ,1000000,4.1,43200,Role Playing,Turn-based RPG,Single player,Stylized,Anime,-
Bleach: Brave Souls Anime Game ,KLab Inc.,Public,33.200 ,10000000,3.6,337000,Role Playing,Action Role-Playing,Multiplayer,Competitive multiplayer,Single player,Stylized
The Idolmaster: Shiny Colors,BANDAI NAMCO Entertainment,Public,37.300 ,100000,3.9,5420,Role Playing,-,-,-,-,-
Dissidia Final Fantasy: Opera Omnia,SQUARE ENIX,Public,43.667 ,500000,3.2,18700,Role Playing,Turn-based RPG,Single player,Stylized,Anime,-
Punishing: Gray Raven,HK HERO ENTERTAINMENT CO.,Private,33.111 ,100000,4.1,9170,Role Playing,Roguelike,Single player,Stylized,Anime,-
eFootball™ CHAMPION SQUADS ,KONAMI,Public,34.236 ,10000000,4.2,92200,Sports,Soccer,Casual,Multiplayer,Competitive multiplayer,Single player
A Certain Magical Index: Imaginary Fest,SQUARE ENIX,Public,38.917 ,100000,3.7,14100,Role Playing,Stylized,Anime,-,-,-
Captain Tsubasa: Dream Team,KLab Inc.,Public,40.571 ,500000,3.5,15000,Sports,Soccer,Single player,Stylized,Anime,-
Guardian Tales,"Kong Studios, Inc.",Private,28.744 ,500000,3.8,27900,Role Playing,Action Role-Playing,Single player,Stylized,Anime,-
Age of Three Kingdoms,Six Waves Inc.,Public,45.500 ,500000,4,4560,Strategy,Wargame,Single player,Stylized,Stylized-realistic,-
The Idolmaster SideM: Growing Stars,BANDAI NAMCO Entertainment Inc.,Public,33.167 ,100000,4,1850,Music,Performance,Single player,Stylized,Anime,-
Code Geass: Genesic Re;Code,Hakuhodo DY media partners Inc.,Public,38.125 ,100000,3.3,4420,Role Playing,Action-strategy,Single player,Stylized,Anime,-
Phantom of the Kill,gumi Inc.,Public,42.000 ,1000000,3.9,161000,Role Playing,Tactical,Single player,Stylized,Anime,-
D4DJ Groovy Mix,Bushiroad Inc.,Public,37.667 ,100000,4.3,11300,Music,Performance,Single player,Stylized,Anime,-
Lagunador,"Grams, Inc",Private,37.338 ,500000,4,20800,Role Playing,Single player,Stylized,Anime,-,-
Puyo Puyo !! Quest,SEGA CORPORATION,Public,34.600 ,5000000,4.1,84800,Role Playing,Puzzle Role-playing,Match 3 RPG,Single player,Stylized,Anime
Ragnarok Masters,"GungHo Online Entertainment, Inc.",Public,43.400 ,100000,0,0,Role Playing,MMORPG,Multiplayer,Cooperative multiplayer,Single player,Stylized
Summons Board,"GungHo Online Entertainment, Inc.",Public,41.500 ,1000000,4,96100,Role Playing,Tactical,Single player,Stylized,Anime,-
Kingdom Ran,DELUXE GAMES INC.,Public,38.179 ,10000,4.4,778,Single player,Stylized,-,-,-,-
That Time I Got Reincarnated as a Slime,BANDAI NAMCO Entertainment Inc.,Public,27.394 ,100000,4.2,32300,Role Playing,Turn-based RPG,Single player,Stylized,Anime,-
Disney Tsum Tsum Land,"COLOPL, Inc.",Public,38.286 ,1000000,3.7,45400,Puzzle,Bubble shooter,Casual,Single player,Stylized,Cartoon
Township,Playrix,Private,43.706 ,100000000,4,9610000,Simulation,Management,Farming,Casual,Single player,Stylized
Langrisser Mobile,ZlongGames,Private,42.000 ,100000,4,24900,Role Playing,Tactical,Single player,Stylized,Anime,-
Seven Knights 2,Netmarble Corporation,Public,39.333 ,1000000,3.6,71000,Role Playing,MMORPG,Casual,Multiplayer,Competitive multiplayer,Single player
HELIOS Rising Heroes,Happy Elements K.K,Private,48.000 ,100000,4.3,3660,Role Playing,Turn-based RPG,Single player,Stylized,Anime,-
Shinobi Master Senran Kagura: New Link,HONEY PARADE GAMES Inc.,Public,40.000 ,100000,3.1,8930,Role Playing,Casual,Stylized,Anime,-,-
Lineage W,NCSOFT,Public,30.934 ,1000000,4.5,147000,Role Playing,MMORPG,Multiplayer,Competitive multiplayer,Stylized,-
THE KING OF FIGHTERS '98UM OL,FINGERFUN PTE. LTD.,Private,47.500 ,1000000,3.9,20800,Action,Fighting,Casual,Stylized,Anime,-
Cookie Run: Kingdom,Devsisters,Public,47.000 ,10000000,4.2,986000,Role Playing,Action-strategy,Single player,Stylized,-,-
Hajime no Ippo: Fighting Souls,Rudel inc.,Private,49.000 ,100000,4.2,6530,Role Playing,Action-strategy,Single player,Stylized,Anime,-
Evony,TOP GAMES INC.,Public,41.000 ,100000000,4.6,801000,Strategy,Build & battle,Casual,Multiplayer,Competitive multiplayer,Single player
Nogizaka46 Rhythm Festival,AiiA Corporation,Private,34.375 ,100000,4.2,9830,Music,Performance,Single player,Realistic,-,-
The Ants: Underground Kingdom,StarUnion,Private,37.067 ,500000,4.1,30800,Strategy,Build & battle,Single player,Realistic,-,-
Sword Art Online Unleash Blading,BANDAI NAMCO Entertainment Inc.,Public,46.000 ,100000,3.7,18800,Role Playing,Turn-based RPG,Single player,Multiplayer,Stylized,Anime
Empires & Puzzles: Match-3 RPG,Small Giant Games,Public,42.667 ,50000000,4.1,2290000,Role Playing,Puzzle Role-playing,Match 3 RPG,Single player,Stylized,-
The Walking Dead: Survivors,Galaxy Play Technology Limited,Private,46.000 ,10000000,3.9,810000,Strategy,Build & battle,Multiplayer,Competitive multiplayer,Single player,Stylized
HINAKOI,"10ANTZ, Inc.",Private,34.706 ,100000,3.5,3820,Simulation,Life,Dating,Single player,Realistic,-
Millennium War Aigis A,EXNOA LLC,Private,41.333 ,100000,3.8,3200,Strategy,Tower defense,Single player,Stylized,Anime,-
WORLD FLIPPER,"Cygames, Inc.",Public,33.667 ,100000,3.5,11900,Role Playing,Single player,Stylized,Pixelated,-,-
Hōchi Shōjo: Hyakka Ryōran no Moehime-tachi,C4 CONNECT K.K.,Private,18.032 ,1000000,4.1,96900,Role Playing,Idle RPG,Single player,Stylized,Anime,-
